Song,Artist,Genre,Year,added,bpm,energy,dance,dB,liveliness,valence,duration,acousticness,speechiness,popularity
From Now On,Hugh Jackman,hollywood,2017,2018‑12‑11,108,52,52,-10,59,8,350,0,4,75
"Hey Look Ma, I Made It",Panic! At The Disco,baroque pop,2018,2018‑06‑22,108,83,58,-3,12,58,170,1,7,75
Anchor,Novo Amor,ambient folk,2017,2017‑08‑10,117,41,46,-11,13,13,258,81,3,75
Atlantis,Seafret,folk-pop,2016,2017‑08‑04,166,48,40,-8,12,21,229,5,3,75
Stolen Dance,Milky Chance,german pop,2014,2014‑10‑22,114,58,89,-9,8,73,314,43,4,75
Like You Do,Joji,alternative r&b,2020,2020‑11‑18,66,20,58,-10,14,8,240,95,3,74
Stay,Gracie Abrams,indie cafe pop,2019,2020‑11‑18,114,37,62,-10,12,43,177,88,5,74
This Side of Paradise,Coyote Theory,,2020,2020‑11‑15,158,66,31,-6,14,32,242,43,3,74
Stuck In The Middle,Tai Verdes,modern indie pop,2020,2020‑11‑03,120,50,87,-9,9,85,196,37,5,74
affection,BETWEEN FRIENDS,indie pop,2018,2020‑10‑24,180,56,27,-7,9,30,235,52,25,74
Afterthought,Joji,alternative r&b,2020,2020‑10‑21,84,55,67,-8,9,19,195,40,4,74
Lemon Boy,Cavetown,bedroom pop,2018,2020‑09‑30,140,48,51,-10,9,32,273,19,4,74
Freaking Out the Neighborhood,Mac DeMarco,edmonton indie,2012,2020‑09‑30,143,83,56,-6,39,85,174,6,11,74
Glass House (feat. Naomi Wild),Machine Gun Kelly,ohio hip hop,2019,2020‑09‑26,150,59,68,-7,13,20,202,2,6,74
Saved,Khalid,alternative r&b,2017,2020‑09‑26,81,45,74,-10,12,55,207,19,14,74
Scrawny,Wallows,indie pop,2019,2020‑05‑29,138,82,64,-5,14,80,167,0,5,74
Paris in the Rain,Lauv,electropop,2018,2019‑03‑28,76,41,43,-9,39,53,205,77,5,74
"Welcome Home, Son",Radical Face,indie folk,2007,2019‑01‑17,145,50,59,-11,14,40,288,72,3,74
Carolina,Harry Styles,pop,2017,2017‑05‑14,122,67,62,-4,10,46,190,0,3,74
Woman,Harry Styles,pop,2017,2017‑05‑14,136,65,62,-5,22,38,279,2,3,74
Dear Future Husband,Meghan Trainor,dance pop,2015,2014‑10‑25,79,78,66,-5,32,83,184,38,19,74
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2014,2014‑10‑10,121,59,80,-7,19,55,228,16,4,74
Battle Scars,Lupe Fiasco,alternative hip hop,2012,2020‑11‑29,168,81,52,-5,11,49,250,19,29,73
Gimme Love,Joji,alternative r&b,2020,2020‑11‑18,126,63,48,-7,21,7,215,70,10,73
Dazed & Confused,Ruel,australian alternative pop,2018,2020‑11‑15,128,50,69,-7,36,42,190,10,14,73
Welcome Home,Radical Face,indie folk,2010,2020‑11‑15,145,49,60,-11,9,40,287,74,3,73
Hard Sometimes,Ruel,australian alternative pop,2019,2020‑11‑15,82,32,41,-8,14,22,269,85,4,73
Run,Joji,alternative r&b,2020,2020‑10‑31,158,72,45,-4,61,36,195,4,3,73
Streetcar,Daniel Caesar,canadian contemporary r&b,2015,2020‑10‑21,110,30,41,-12,16,14,247,72,5,73
why are you here,Machine Gun Kelly,ohio hip hop,2019,2020‑09‑26,129,89,56,-4,48,63,176,1,4,73
Garden (Say It Like Dat),SZA,pop,2017,2020‑09‑26,111,46,73,-7,12,55,208,7,28,73
Easy,Mac Ayres,alternative r&b,2017,2020‑09‑26,91,28,72,-7,15,22,314,37,11,73
Mr Loverman,Ricky Montgomery,indie pop,2016,2020‑09‑26,130,53,64,-7,25,49,217,25,3,73
Lost,Frank Ocean,alternative r&b,2012,2020‑08‑03,123,60,91,-5,17,50,234,3,23,73
scared,Jeremy Zucker,electropop,2019,2020‑08‑03,108,8,58,-16,11,35,208,93,7,73
In This Shirt,The Irrepressibles,baroque pop,2009,2020‑07‑20,80,48,31,-6,13,4,335,71,3,73
These Days,Wallows,indie pop,2018,2020‑05‑29,93,67,66,-7,8,87,203,4,3,73
"Dance, Baby!",boy pablo,bedroom pop,2017,2020‑05‑29,122,60,60,-9,31,86,198,4,4,73
Pleaser,Wallows,indie pop,2017,2020‑05‑29,149,91,50,-4,27,39,188,13,5,73
Come Alive,Hugh Jackman,hollywood,2017,2018‑12‑11,118,77,70,-9,21,24,226,1,13,73
Dance To This (feat. Ariana Grande),Troye Sivan,australian pop,2018,2018‑08‑31,117,76,74,-7,11,71,232,1,5,73
There for You,Martin Garrix,big room,2017,2018‑06‑08,106,64,61,-8,12,13,222,12,6,73
Paranoid,Post Malone,dfw rap,2018,2018‑05‑08,160,54,63,-5,17,25,222,4,8,73
Rich & Sad,Post Malone,dfw rap,2018,2018‑05‑08,152,57,60,-5,10,28,206,20,7,73
Over Now,Post Malone,dfw rap,2018,2018‑05‑08,164,78,57,-4,13,18,247,14,8,73
92 Explorer,Post Malone,dfw rap,2018,2018‑05‑08,146,73,80,-5,11,86,211,27,5,73
Saturday Sun,Vance Joy,folk-pop,2018,2018‑02‑26,100,86,64,-4,22,71,215,48,5,73
Only Angel,Harry Styles,pop,2017,2017‑05‑14,114,84,55,-4,11,35,291,29,4,73
Robin Hood,Anson Seabra,indie cafe pop,2018,2020‑12‑14,78,15,63,-14,13,32,222,95,6,72
"Hey, Ma",Bon Iver,eau claire indie,2019,2020‑11‑16,72,28,41,-11,10,21,217,87,3,72
supercuts,Jeremy Zucker,electropop,2020,2020‑10‑07,128,54,81,-8,9,76,207,8,12,72
Fool,Cavetown,bedroom pop,2018,2020‑09‑30,80,46,68,-9,7,13,234,6,15,72
talk is overrated,Jeremy Zucker,electropop,2017,2020‑09‑26,138,35,78,-8,30,66,190,44,7,72
Tightrope,Michelle Williams,hollywood,2017,2018‑12‑11,162,33,35,-10,9,19,234,30,4,72
My My My!,Troye Sivan,australian pop,2018,2018‑08‑31,103,46,70,-8,5,48,205,0,8,72
Spoil My Night (feat. Swae Lee),Post Malone,dfw rap,2018,2018‑05‑08,161,72,67,-3,11,23,195,34,3,72
Ball For Me (feat. Nicki Minaj),Post Malone,dfw rap,2018,2018‑05‑08,134,55,80,-4,8,54,206,51,24,72
What Do I Know?,Ed Sheeran,pop,2017,2017‑05‑14,115,49,84,-6,26,90,237,25,4,72
Ever Since New York,Harry Styles,pop,2017,2017‑05‑14,128,54,39,-7,13,38,253,20,3,72
Coming Home,Diddy - Dirty Money,hip pop,2010,2014‑10‑11,168,84,39,-2,30,23,239,16,19,72
Always,Isak Danielson,indie cafe pop,2018,2020‑12‑14,113,45,69,-8,31,55,213,36,5,71
Broken,Isak Danielson,indie cafe pop,2018,2020‑12‑14,142,64,44,-7,11,10,216,45,6,71
3 Nights,Dominic Fike,alternative pop rock,2018,2020‑11‑16,152,52,82,-7,10,88,178,22,9,71
Normal People (feat. rei brown),Joji,alternative r&b,2020,2020‑10‑31,173,69,68,-9,10,64,167,38,5,71
as long as you care,Ruel,australian alternative pop,2020,2020‑10‑24,79,59,55,-7,11,31,193,1,4,71
Two Weeks,Grizzly Bear,alternative dance,2009,2020‑10‑21,160,71,54,-6,8,70,243,29,3,71
Freakin' Out On the Interstate,Briston Maroney,indie pop,2018,2020‑10‑15,144,79,45,-5,30,36,252,39,5,71
Honesty,Pink Sweat$,bedroom soul,2020,2020‑09‑26,80,14,66,-16,11,31,189,96,3,71
Day 1 ◑,HONNE,pop,2018,2020‑09‑26,95,58,50,-7,26,63,234,21,9,71
Easy,Troye Sivan,australian pop,2020,2020‑08‑21,143,57,64,-7,11,62,227,6,5,71
Remember When,Wallows,indie pop,2019,2020‑06‑30,82,71,50,-6,79,51,155,0,3,71
head first,Christian French,electropop,2019,2020‑05‑29,127,39,91,-6,11,61,155,28,7,71
Cold,Boy In Space,electropop,2019,2020‑05‑29,130,41,71,-7,5,19,204,18,4,71
still feel.,half•alive,indie pop,2019,2020‑02‑15,120,52,78,-6,5,72,248,15,5,71
Outta My Head (with John Mayer),Khalid,alternative r&b,2019,2019‑04‑06,103,55,73,-8,37,51,177,2,3,71
Like Real People Do,Hozier,irish singer-songwriter,2014,2019‑03‑15,140,18,54,-14,11,14,198,92,3,71
Same Bitches (feat. G-Eazy & YG),Post Malone,dfw rap,2018,2018‑05‑08,100,77,73,-5,11,22,212,43,6,71
Mystery of Love,Sufjan Stevens,baroque pop,2017,2017‑12‑18,132,27,37,-17,11,24,249,94,4,71
Visions of Gideon,Sufjan Stevens,baroque pop,2017,2017‑12‑18,75,31,25,-18,9,20,248,94,4,71
Flicker,Niall Horan,dance pop,2017,2017‑10‑20,182,31,26,-10,34,24,258,71,3,71
Homesick,Dua Lipa,dance pop,2017,2017‑10‑06,86,22,43,-9,11,40,230,95,4,71
Fragile,Kygo,edm,2016,2017‑09‑21,150,42,47,-7,9,22,231,18,5,71
Saturn,Sleeping At Last,ambient worship,2014,2017‑08‑10,73,24,26,-14,11,5,290,64,3,71
Hearts Don't Break Around Here,Ed Sheeran,pop,2017,2017‑05‑14,105,37,60,-8,16,18,248,72,3,71
How Would You Feel (Paean),Ed Sheeran,pop,2017,2017‑05‑14,140,44,62,-6,13,24,281,42,3,71
Up (feat. Demi Lovato),Olly Murs,dance pop,2014,2015‑05‑04,115,83,69,-5,10,68,224,1,3,71
Need You Now,Lady A,contemporary country,2010,2014‑10‑11,108,62,59,-6,20,23,278,9,3,71
Line Without a Hook,Ricky Montgomery,indie pop,2016,2020‑11‑21,190,65,43,-5,26,51,250,26,3,70
Broken,Anson Seabra,indie cafe pop,2020,2020‑11‑19,99,8,48,-14,15,23,306,96,6,70
drunk,keshi,chill r&b,2020,2020‑10‑24,105,39,69,-8,9,31,227,77,4,70
21,Gracie Abrams,indie cafe pop,2020,2020‑08‑03,125,67,76,-6,11,39,185,49,9,70
Through and Through,khai dreams,indie pop,2017,2020‑07‑20,95,42,85,-9,8,59,114,38,5,70
Everytime,boy pablo,bedroom pop,2017,2020‑05‑29,204,66,43,-10,12,86,173,2,4,70
Moon River,Frank Ocean,alternative r&b,2018,2020‑05‑29,77,12,24,-13,10,9,188,88,3,70
Say Amen (Saturday Night),Panic! At The Disco,baroque pop,2018,2018‑06‑22,168,87,49,-2,46,60,189,17,10,70
Zack And Codeine,Post Malone,dfw rap,2018,2018‑05‑08,138,82,74,-5,13,39,204,15,4,70
Takin' Shots,Post Malone,dfw rap,2018,2018‑05‑08,120,62,76,-6,46,59,217,61,9,70
Otherside,Post Malone,dfw rap,2018,2018‑05‑08,105,64,65,-6,21,11,228,32,4,70
Blame It On Me,Post Malone,dfw rap,2018,2018‑05‑08,122,59,65,-7,16,27,262,14,4,70
Sugar Wraith,Post Malone,dfw rap,2018,2018‑05‑08,164,78,61,-4,10,31,228,26,7,70
Words - Original Version 1983,F.R. David,french synthpop,1983,2017‑12‑18,124,79,54,-6,14,53,209,37,5,70
